Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Message Type,Navigation Message (Hex),Modified
-4000,1,1,302396.000,2364,4,05265E3F 24E57BFD 7404D021 71E05807 D8320590 4E55FED4 0418B48F 904958E8 60088927 89C08897 480C0C14 B58390DD 8C54BD02 AF570390 EE5B703C 022FCF4D 40BADAF4 680C7550 82104F2F 646903C7 00ABC0A6 EE868D01 A19A6B80 0892DA2C 01A09AA0 00389FD4 000550F6 42007B64 F2480100 C1438065 9A200004 94BE0300 1732F0A0 067B5206 006BAD34 A008E8B0 090091B3 B040084F C80200EA 51D07048 F3450604 405A2040 48CAAC06 041CD670 684694CA 8680E4EC 602008DA 13840498 1768F803 4065A200 223CB818 0027D1A5 00683BA0 1805F862 0F80426A A938055C 7C000000,No
-4000,2,2,302396.000,2364,4,0A4CB63F 24E57BFD 74069001 61E0DC06 F5360FD0 5E84BEF4 04519686 D04941D8 50088004 8380BE1C 28AC0F31 B48290EF 5D703902 AF6649D0 588104B8 036B4E4D 408A09E4 78053857 83504FB7 74E9098B 10E28092 6F96AD03 CC182980 3803DE3C 02EC3AE8 00080C80 900619D1 0900493E D2480348 C1098051 D8542005 9C9D4300 2539C000 05767347 005DB424 8000C002 0A00133A D0600046 CD03004E C1D04042 B2E00404 508B0040 42AB9F04 04BC5650 484FF86C 8480E2A4 102000D7 138E04AE 84187802 2441A000 02E5C838 022BF7A7 004CFBB0 B8069542 0C8042A9 C8080439 7A000000,No
-4000,3,3,302396.000,2364,4,0F6AEE3F 24E57BFD 74059007 F3A0C805 B9210F90 5E96FEF0 0715A38F 907DCAA8 6009CCB0 8BC0ACC7 18880D1D 2789D0EB 1D243D03 AF6303D0 EC517418 0B0B7B47 00BC81F4 FC067843 8950ED27 20C901A6 A5E1C0A2 E4C63901 EC9C2880 1E53EA88 01E83AE2 002E8F80 A0055DF0 42007D34 A6D80304 C0088065 D360A006 B08F4900 013BF490 0416E44F 005B7C20 1003A924 000035A2 C050004E 6801004A D0806041 FAD00704 74D07060 48A72B04 040A4450 684EB5CA 8480522C 202003BB 118E0408 55485800 4C72A200 36FD9838 0207F0A7 006CF9E0 8806F5D4 07807621 D8380654 DE000000,No
-4000,4,4,302396.000,2364,4,11BF3E3F 24E57BFD 7407D011 A980EC06 D4940F90 5CCEDED0 0471218F D06F4BA8 E0098591 88C0AA8F 78280F50 248990D9 86308D02 CB5340D0 DC91742C 0A47E806 40AE8B84 E8043144 C15059AE 74C9038A B4A2C080 3C821D03 853E6B80 3893FE1C 028D1DA1 002EC6C4 90041CE7 4A007F2C F6F8034C F50B8053 C170A007 98994300 053BA030 057A5746 00693F60 3000CD16 0300172B E0700263 6A02007C 82C06041 B6450704 E6C06040 43AA8906 04BC5720 684FDC7C 8680F665 402008D6 8384041E 9728D803 4CF3A200 2025E818 026FD0A6 006AB9D0 9807DDD3 0E8076FA C9080539 DB000000,No
-4000,5,5,302396.000,2364,4,1499663F 24E57BFD 740DD007 7BE04C06 991405D0 7A86EED4 053C0185 D05B0A98 E00BE121 88C08C56 58880F18 2181D0DD D5540D03 EE634190 FE5034BC 03636B4E 40BE1080 CC0F39F5 8050FF35 14DD028B 37E98082 7ED60901 A9BD2AC0 1ECACEAC 03A92CAA 003ED7D0 90045556 09006DBF B6E80220 75038051 8A248005 D41A4800 17BBD420 073BD60C 0059F734 0000A4A2 030011F3 D0D0006E 5B03007A 41C07042 93600504 440B2060 42EEAD04 042EC760 6845B84E 8480727C 50200BB7 808C049A DF185801 41C7A000 22748818 032A46AE 004862F0 9804B1E3 068042F0 D838061D C9000000,No
-4000,6,6,302396.000,2364,4,1BF38E3F 24E57BFD 740E9511 3BD06E84 FCB645D4 4807BAF2 971530CC FD4BD19C 7018E422 C1C48AC4 1C185C31 32C2D1EB 85603998 E3541398 DA8850AC 5A675E54 042E89D0 48453144 D075C925 70C95B83 34F88500 27922943 A52C68A5 0C188B9A 42E03FB2 402EC5C4 34077575 1064492E A24EC169 C14BE051 4B641246 B88E0369 27A2D0A2 967AC20C 654DBD10 B2C28832 032413A0 80E69167 EB034948 D3E062D8 BBD2070C 46803044 D2C71D06 448C1540 5C56F0EE 0CA0D0AE 20261093 2587643A 9548FE00 4D61A820 1065E89E 032AD5AC 607CA2C0 AE05DC72 05AC76AA D8AC457C D9000000,No
-4000,7,7,302396.000,2364,4,1ED5D63F 24E57BFD 7404B005 E0B06A16 F091449C 7814BA42 D5102487 944FD9C8 E001A084 81A11A15 5C8AC531 9183BD49 DE201FD0 E3C109F5 78CA511E 806ECC5E 603A12D5 7A1E5DE0 9330ED2F 60CB0AC7 90F0C0B6 A7F6BD50 C43E79C5 3E48BF18 42ECBEF2 441845A5 16453846 1B405D74 F6CCC209 C409C053 4A649045 D82F4844 173AA430 17366704 0169EE64 04D2E527 020105E0 D046904B CF0209F8 41A06443 F2F60525 62114046 D2C33E04 643CCF10 5A57D14B 0E81442E 40041996 B7844588 9E085C10 0D53A040 2627D82C 0206C7AF 604AE3F0 8E44DCE2 0FAC7461 88984451 5B000000,No
-4000,8,8,302396.000,2364,4,237E763F 24E57BFD 740FDC13 F2B04C44 D00345B0 7C94FA60 D6708386 9D4F8BB8 6008A516 82E4A817 099E4E59 3793B0DB 8E512F48 E6735ABD EE59619A 5A2F7A5E 6588D2B1 EA451DC7 D93CF9B7 3149D283 B3A1AC26 BCE28D91 C41F3AE9 1E8ABF3A 83A11FEB 4D3C5FA5 A6163D61 5A695D2D B2FED329 F741E555 93108284 DD9F4965 21F38096 D75F614F 695F2730 9610C026 0A20377A F0C0104E CA01005E 1B905049 96770724 D28A2066 D3A22C06 44289F30 7846B8DC 06A140B4 0096089B 138C652E CF187E03 05E7A360 3436B81A 412B56A7 4C4CB280 9806D1E4 07E47632 B91CC730 CB000000,No
-4000,9,9,302396.000,2364,4,26582E3F 24E57BFD 74079513 6BB0CCC6 BC874DF5 4C15AA70 5754A4CC D97D119C D4C0E184 C38C3E45 2CB88550 21CBD55F 44303D12 EFD352D4 EA8820B8 512BE85D 043EC2D4 CC465556 C05479FF 20DF41A6 33B18496 77C22B42 A92E31E5 0818BBBA 41E92FB1 40384C90 16053570 41647FF7 A66E0068 504BEC55 5A043286 F5990B6D 1379F4B2 C77B6106 615BFC64 B282C902 0860353A E0D4C246 ED03617A 938072C3 9742066C E4534046 4A8F2B04 459E9430 FE57D16A 0EA0F4F4 20A61AF6 108764BA 5D28DE11 68E6A020 123CB83E 436AC6A5 2078A9B0 2E44F0E4 06EC70F8 F8980651 EB000000,No
-4000,10,10,302396.000,2364,4,2932C63F 24E57BFD 740D9421 F9D0C8D4 B4254ED8 7E05FA42 C515838D 904F0198 60118D37 83EC3C5E 182A8510 A7C1B57F 86749F53 EFE101F1 681051AA 0A0A4B15 2188C9C5 4E1555D3 8270C97F 11EB13EA 93E1C510 FFC3B911 A8BB21A0 089ADF18 03840EB2 61185694 24163DE4 4841792D 966C1129 5643C965 52641015 B1294B41 11229080 043AE40D 006BA420 8452AC20 0A0137B9 E0C4D046 C801205C 5AD052C2 D351066D E4D81040 48EE9904 041A4E10 DE4FF15A 06807437 008411B7 238644AA 4F587C02 45C6AA40 30ACC88C 406F43A7 607C6380 BE47D9C6 0DAC7422 E9A8065C FD000000,No
-4000,11,11,302396.000,2364,4,2C149E3F 24E57BFD 74079027 22E048C6 FD204ED4 6A4ECED2 973184C6 F14B50DC 6410C4A5 C3E91A1F 2C8E957C 30C0B16F D4259FD0 86D243B4 6E1274AA 03224E5E 61BE48D5 5A0C5166 99314D65 15FB1B82 B0A1A104 BDC63902 840E7AC0 0848EE9A 43AD8EE9 601C9690 168414F3 104879A6 D2C84069 E749C043 0160A407 DC3F4A08 256AE080 16735305 484B7514 00808197 090C03E2 80C41302 6C030958 599040D0 D761070D E0485046 D3AA3806 650C9C30 5A57D46C 0488D0AE 50009AD3 078D0D2C 8D18D892 4954A908 2224E8B8 812AC4A5 0C6C61A0 3887D0F7 048852BA E92A8430 F9000000,No
