Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
-1000,2,2,388799.000,2279,24,15,5817A4C5 E2CAA3AC F9F1968B 39A88CA9 14535C0A AA6E4316 3658C047 10A53ED6 0A401028 97FFFE72 E3FF0AC7 B003CE3D 0000745E FFBC5DBB FD0B1490 0BE24000,No
-1000,3,3,388799.000,2279,24,15,58172F40 ADC5D235 2DCEA493 7980C110 9590FDA4 A795B066 4ACD22E6 6E064CD6 0FC01008 93FFFEC2 9BFF0EE6 5003D47C 0000475A FFBD413B FD0AF7D0 0BFEC000,No
-1000,4,4,388799.000,2279,24,15,58159B08 7ED02F32 ADE19C2C 4858829C 97F274F1 A4758152 BA049545 FB412FD6 0BC01021 9DFFFEFA E3FF0FF7 7003D33E 00004352 FFBDCDFB FD0FC550 0BE90000,No
-1000,5,5,388799.000,2279,24,15,58145A41 E9D36330 19EEA0B0 284CD19F 57007F72 A051B65A 9BE51DB5 58A68916 0CC01072 8BFFFFAE ABFF0B77 1003DA3E 0000095E FFBCB98B FD093510 0BFBC000,No
-1000,7,7,388799.000,2279,24,15,58175B8E ECD9AD16 C5E68C5A C8A6C1E2 94BB7717 A1D799C6 931D0935 D726BF96 08C0101B 9BFFFED2 CBFF09D7 D003C27D 0000105E FFBD899B FD0EC4D0 0BE20000,No
-1000,8,8,388799.000,2279,24,15,5816494B 5CC6E54A 49CF4A9C F98B7D7C 54C5775B A439361A 62B66986 BF6128D6 09C01006 8DFFFFCE 83FF0B57 7003C3F8 0000BE52 FFBFF15B FD0FC7D0 0BCC8000,No
-1000,9,9,388799.000,2279,24,15,58171440 57CAF458 85EE5E47 79FF4D24 95276FC2 ABF14312 3CB66717 19A41296 0A401052 83FFFFDE B3FF0A16 F003C9F1 0000F07A FFBF5DEB FD025750 0BE54000,No
-1000,10,10,388799.000,2279,24,15,58179453 D8C41F99 35A24486 083A52BC 16314161 B7FFCBFE 417454F7 0DF7AC96 0B40101C 99FFFF72 8BFF0BA6 1003C77A 0000ED5A FFBEDDBB FD0C6490 0BD30000,No
-1000,11,11,388799.000,2279,24,15,58159649 B2C9668B D9CC1089 D957C631 D400F0ED A9BF68FE 6CFCFE36 F0585996 08C01079 85FFFE5E ABFF0E06 6003D836 C0006469 FFBCF5F3 FD00F6B0 0BD44000,No
-1000,12,12,388799.000,2279,24,15,58151B89 92CD9786 9DE780C5 09DD87D8 1790F377 AC1F740A 7E4C8206 C8F87ED6 0F401030 92FFFF4A CFFF0C87 5003CAFD 4000394E FFBC7507 FD040600 0BD38000,No
-1000,13,13,388799.000,2279,24,15,5815C59C 77C6B29B 45AEE5EA 587AD10C D59D6927 B62339EA 3BF772C6 7A17D056 09C01063 95FFFEC6 C3FF0D86 B003C435 0000F872 FFBEAD6B FD0D5590 0BC0C000,No
-1000,15,15,388799.000,2279,24,15,5815E200 DDC029B4 CDAC6179 F84666A6 960442C4 B82BC826 364725E6 92DE28D6 0D401018 81FFFFF2 EBFF0CE7 5003C3F7 00003162 FFBCF96B FD043550 0BD7C000,No
-1000,19,19,388799.000,2279,24,15,5814C402 76C25A1D D997D8B7 78A1F673 16454BFA B35F5BFE 1C7FB6E6 E6225D56 0C80106F 9EFFFFBA CBFF0C76 A003D2F2 4000FE74 FFBE25CF FD055640 0BE5C000,No
-1000,21,21,388799.000,2279,24,15,581599D8 58CB49DF 35CB7F57 091ECB6E 16A0F149 A092D5BE 5F025C76 A6833296 09C0100C 81FFFE96 B3FF0A36 3003C234 00006962 FFBCA1DB FD09D6D0 0BEA4000,No
-1000,24,24,388799.000,2279,24,15,5816DD88 7FCDDD8E A9D0631A 296DFA01 14EB4D01 A748554A 3391A067 88A222D6 0CC01031 9AFFFEAE A7FF0C87 7003D6B0 40001A62 FFBC65E7 FD0A17C0 0BE2C000,No
-1000,25,25,388799.000,2279,24,15,5815BD1E F6C87CCB 61EE7F27 F9F2AB2C 5471754D A334C6CE 7BA24FF6 2A636496 0FC01041 9FFFFE96 CBFF0FE6 5003C1B7 00009E6E FFBF11FB FD0C87D0 0BD70000,No
-1000,26,26,388799.000,2279,24,15,58167384 8BC8A5F9 BD96E9A5 B86CE637 D5FBE2BD B40D62EA 2AD7F0A6 91540CD6 0DC0101C 85FFFFDE C3FF0FD7 3003C631 00004776 FFBD813B FD02F550 0BDBC000,No
-1000,27,27,388799.000,2279,24,15,5817B599 74C598C0 89E27799 791A8860 55727F03 AF78D27A 48A23286 EAA2A0D6 0F401013 85FFFFBE 9BFF0C47 1003D97F 0000855A FFBEE98B FD0F75D0 0BDF4000,No
-1000,30,30,388799.000,2279,24,15,5817B185 62C40B9D 71CE6B06 B9D3B984 D623D67B A84A0656 632128B6 00662996 0D401058 9AFFFE92 CFFF0D67 5003C87B 4000995A FFBFD577 FD0E8640 0BD78000,No
-1000,31,31,388799.000,2279,24,15,5815C050 56CAEFC1 81CF6F8A 797A8BFE 54F2E82D AADAAA0E 73224EF6 BAC65096 0A40104D 97FFFFB6 A3FF0A07 3003C4F7 0000936E FFBEF91B FD059510 0BE6C000,No
-1000,33,33,388799.000,2279,24,15,5816C003 E6C784B4 41BCC5CA 787C359A 56E4CD5D B549D78E 7DF7E9F7 80DCDC96 0D401044 9FFFFE9A 93FF0C87 F003D371 00002D6E FFBDD1FB FD05D710 0BD94000,No
-1000,34,34,388799.000,2279,24,15,581704D4 F4C5FB84 6594DC72 C8BC500A 9460C2E7 B11FEE26 61DC31B7 E355DD96 0C401038 85FFFED6 8BFF0F56 D003DE77 0000087A FFBCF94B FD084450 0BE18000,No
-1000,36,36,388799.000,2279,24,15,58151519 7FC4B083 0985F5F1 C8FE90E8 54DC6B2E B8A127EE 39EF2726 9A76AFD6 0940107F 89FFFF42 ABFF09D7 1003C3FE 0000B446 FFBE4D0B FD0797D0 0BEEC000,No
