Elapsed Time (ms),Skydel SV ID,Slot,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
0,1,1,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,2,2,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,3,3,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,4,4,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,5,5,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,6,6,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,7,7,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,8,8,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,9,9,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,10,10,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,11,11,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,12,12,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,13,13,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,14,14,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,15,15,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,16,16,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,17,17,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,18,18,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,19,19,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,20,20,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,21,21,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,22,22,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,23,23,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
0,24,24,388800.000,2279,5,7,59999965 55A9AA99 9666A695 955595A9 AA556AAA 657E3750 96000000,No
2000,1,1,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,2,2,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,3,3,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,4,4,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,5,5,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,6,6,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,7,7,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,8,8,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,9,9,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,10,10,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,11,11,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,12,12,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,13,13,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,14,14,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,15,15,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,16,16,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,17,17,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,18,18,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,19,19,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,20,20,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,21,21,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,22,22,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,23,23,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
2000,24,24,388802.000,2279,5,8,6A96596A A596A5A5 A99A56AA 5AA99995 56669596 9A7E3750 96000000,No
4000,1,1,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,2,2,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,3,3,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,4,4,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,5,5,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,6,6,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,7,7,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,8,8,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,9,9,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,10,10,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,11,11,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,12,12,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,13,13,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,14,14,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,15,15,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,16,16,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,17,17,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,18,18,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,19,19,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,20,20,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,21,21,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,22,22,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,23,23,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
4000,24,24,388804.000,2279,5,9,6A699565 595AA9A6 9A95596A 5999A559 AA566956 667E3750 96000000,No
6000,1,1,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,2,2,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,3,3,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,4,4,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,5,5,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,6,6,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,7,7,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
6000,8,8,388806.000,2279,5,10,6969A655 59596A59 A99A9956 AA55696A AA55A956 9A7E3750 96000000,No
