Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
0,1,1,388800.000,2279,1,,22D55589 205BDE70 0E747F2B 35555569 1555556A 2AAAAA95 15557D06 00982BA6 003FFE21 3A937B68,No
0,2,2,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAAB6BB 3F67D470 000009E4 2DD85D98,No
0,3,3,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAA813B 3F67D470 00002D18 3B8E0B44,No
0,4,4,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAABDEC 00982B8F 3FFFE771 3AE5746C,No
0,5,5,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAABA2B 3F67D470 003FFCE8 3B53043C,No
0,6,6,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAA8226 00982BA6 003FF109 2DF74718,No
0,7,7,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAABA2B 3F67D470 003FE90B 3DC9BC14,No
0,8,8,388800.000,2279,1,,22D55589 205BDE70 0E744017 35555569 1555556A 2AAAAA95 15557D06 00982BA6 003FFBF0 3B57055C,No
0,9,9,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAA8095 3F67D459 3FFFE97B 01F6E840,No
0,10,10,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAA8168 00982B8F 3FC00344 3E40467C,No
0,11,11,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAABB85 3F67D459 3FC0284F 0C1213DC,No
0,12,12,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAAB965 3F67D459 3FC00962 3215AA58,No
0,13,13,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAAB9C0 00982B8F 3FFFF5F0 12C1D30C,No
0,14,14,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAABBD6 00982BA6 00001909 39F2E228,No
0,15,15,388800.000,2279,1,,22D55589 205BDE70 0E740019 35555540 2AAAAABC 2AAAAABC 2AAABA78 00982B8F 3FFFF7E6 02899EB8,No
