Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
0,2,194,302400.000,2364,1,,22EAAA2F 2763DE48 13C8410F 15555543 15555543 15555543 15557EC4 0012AD4A 00000029 0000BD20,No
0,3,195,302400.000,2364,1,,22EAAA2F 2763DE48 13C8410F 15555543 15555543 15555543 15557F9C 0012AD4A 003FFF8F 000F5C6C,No
0,4,196,302400.000,2364,1,,22EAAA2F 2763DE48 13C8410F 15555543 15555543 15555543 1555415D 3FED529C 003FFFF5 00077F1C,No
0,7,199,302400.000,2364,1,,22EAAA2F 2763DE48 13C8410F 15555543 15555543 15555543 155541F8 0012AD4A 003FFFDC 3FFFCC3C,No
6000,2,194,302406.000,2364,2,,22EAAA2F 2763BDD8 0009BF7F 3C0EB9DE 0D1EA775 399CB655 0198887F 35F5CD40 39D7CC39 2D52A0A0,No
6000,3,195,302406.000,2364,2,,22EAAA2F 2763BDD8 00301F6D 3C95CBF0 3D146877 08343666 0EFD78D0 3875F2BC 3B01907D 2D52A0A0,No
6000,4,196,302406.000,2364,2,,22EAAA2F 2763BDD8 0002B6FA 0502225C 2E0B73B2 01138996 1D70018A 0F0632B4 3AE8B33D 2D52A0A0,No
6000,7,199,302406.000,2364,2,,22EAAA2F 2763BDD8 0038F1BE 000018A7 012E889B 04007FE4 08285274 0B87B2BA 3B064676 12AD5F0C,No
12000,2,194,302412.000,2364,3,,22EAAA2F 27639C50 3F58460A 0A0BFEDF 006338CE 214ACF0C 33352FDC 0F390B10 3FFAE8C6 003DFDA4,No
12000,3,195,302412.000,2364,3,,22EAAA2F 27639C50 016117F6 00EC9E3E 017F4702 2C13283B 2FFC4FC3 2A477CED 0001B89C 00387104,No
12000,4,196,302412.000,2364,3,,22EAAA2F 27639C50 3FC028FF 0542E68F 3FEDF97E 0153D1BE 25E23011 131ABF90 3FFAFA14 000EC83C,No
12000,7,199,302412.000,2364,3,,22EAAA2F 27639C50 3E8602E9 3DBFC519 3F737FDA 03B14191 1502E1AE 19553330 00037490 00000000,No
18000,2,194,302418.000,2364,4,51,22EAAA2F 27637BA0 3CD7CF0F 01FBEFB0 3EF81FAB 01055545 1555556A 2AAAAA95 1555556A 2AAAAA30,No
18000,3,195,302418.000,2364,4,51,22EAAA2F 27637BA0 3CD7CF0F 01FBEFB0 3EF81FAB 01055545 1555556A 2AAAAA95 1555556A 2AAAAA30,No
18000,4,196,302418.000,2364,4,51,22EAAA2F 27637BA0 3CD7CF0F 01FBEFB0 3EF81FAB 01055545 1555556A 2AAAAA95 1555556A 2AAAAA30,No
18000,7,199,302418.000,2364,4,51,22EAAA2F 27637BA0 3CD7CF0F 01FBEFB0 3EF81FAB 01055545 1555556A 2AAAAA95 1555556A 2AAAAA30,No
24000,2,194,302424.000,2364,5,3,22EAAA2F 27635A28 30DE0E98 17F2BEE0 3FF24072 32BB01BA 17C0C9FB 0FEA4773 0E0645BD 003FF92C,No
24000,3,195,302424.000,2364,5,3,22EAAA2F 27635A28 30DE0E98 17F2BEE0 3FF24072 32BB01BA 17C0C9FB 0FEA4773 0E0645BD 003FF92C,No
24000,4,196,302424.000,2364,5,3,22EAAA2F 27635A28 30DE0E98 17F2BEE0 3FF24072 32BB01BA 17C0C9FB 0FEA4773 0E0645BD 003FF92C,No
24000,7,199,302424.000,2364,5,3,22EAAA2F 27635A28 30DE0E98 17F2BEE0 3FF24072 32BB01BA 17C0C9FB 0FEA4773 0E0645BD 003FF92C,No
30000,2,194,302430.000,2364,1,,22EAAA2F 27633E2C 13C8410F 15555543 15555543 15555543 15557EC4 0012AD4A 00000029 0000BD20,No
30000,3,195,302430.000,2364,1,,22EAAA2F 27633E2C 13C8410F 15555543 15555543 15555543 15557F9C 0012AD4A 003FFF8F 000F5C6C,No
30000,4,196,302430.000,2364,1,,22EAAA2F 27633E2C 13C8410F 15555543 15555543 15555543 1555415D 3FED529C 003FFFF5 00077F1C,No
30000,7,199,302430.000,2364,1,,22EAAA2F 27633E2C 13C8410F 15555543 15555543 15555543 155541F8 0012AD4A 003FFFDC 3FFFCC3C,No
36000,2,194,302436.000,2364,2,,22EAAA2F 27631D44 0009BF7F 3C0EB9DE 0D1EA775 399CB655 0198887F 35F5CD40 39D7CC39 2D52A0A0,No
36000,3,195,302436.000,2364,2,,22EAAA2F 27631D44 00301F6D 3C95CBF0 3D146877 08343666 0EFD78D0 3875F2BC 3B01907D 2D52A0A0,No
36000,4,196,302436.000,2364,2,,22EAAA2F 27631D44 0002B6FA 0502225C 2E0B73B2 01138996 1D70018A 0F0632B4 3AE8B33D 2D52A0A0,No
36000,7,199,302436.000,2364,2,,22EAAA2F 27631D44 0038F1BE 000018A7 012E889B 04007FE4 08285274 0B87B2BA 3B064676 12AD5F0C,No
42000,2,194,302442.000,2364,3,,22EAAA2F 2762FCB0 3F58460A 0A0BFEDF 006338CE 214ACF0C 33352FDC 0F390B10 3FFAE8C6 003DFDA4,No
42000,3,195,302442.000,2364,3,,22EAAA2F 2762FCB0 016117F6 00EC9E3E 017F4702 2C13283B 2FFC4FC3 2A477CED 0001B89C 00387104,No
42000,4,196,302442.000,2364,3,,22EAAA2F 2762FCB0 3FC028FF 0542E68F 3FEDF97E 0153D1BE 25E23011 131ABF90 3FFAFA14 000EC83C,No
42000,7,199,302442.000,2364,3,,22EAAA2F 2762FCB0 3E8602E9 3DBFC519 3F737FDA 03B14191 1502E1AE 19553330 00037490 00000000,No
